'Air Quality Statistics by City,2021'
'Note: The values shown are the highest among the sites in each area. Data from exceptional events are included.  This summary is not adequate in itself to numerically rank CBSAs according to their air quality.  The monitoring data represent the quality of air in the vicinity of the monitoring site and,for some pollutants,may not necessarily represent urban-wide air quality.  Based on data from AQS as of May 4,2022.'
Core Based Statistical Area (CBSA),2010 Population,CBSA Code,CO           8-hr (ppm),Pb          3-mo (µg/m3),NO2      AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10         24-hr (µg/m3) ,PM2.5         Wtd AM (µg/m3) ,PM2.5         24-hr (µg/m3) ,SO2         1-hr (ppb)
'El Centro,CA',174528.00,20940.00,3.00,ND,10.00,45.00,0.08,279.00,10.30,29.00,6.00
'El Dorado,AR',41639.00,20980.00,ND,ND,ND,ND,ND,ND,9.10,20.00,ND
'Elizabeth City,NC',64094.00,21020.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Elizabethtown-Fort Knox,KY',148338.00,21060.00,ND,ND,ND,ND,0.06,ND,8.40,24.00,ND
'Elkhart-Goshen,IN',197559.00,21140.00,ND,ND,ND,ND,0.06,ND,8.60,22.00,ND
'Elko,NV',50805.00,21220.00,ND,ND,ND,ND,ND,124.00,ND,ND,ND
'Ellensburg,WA',40915.00,21260.00,ND,ND,ND,ND,ND,ND,6.30,23.00,ND
'El Paso,TX',804123.00,21340.00,3.00,ND,14.00,57.00,0.07,153.00,9.20,37.00,IN
'Enid,OK',60580.00,21420.00,ND,ND,ND,ND,ND,ND,IN,IN,24.00
'Erie,PA',280566.00,21500.00,1.00,ND,5.00,IN,0.06,41.00,IN,IN,ND
'Española,NM',40246.00,21580.00,ND,ND,ND,ND,0.07,ND,ND,ND,ND
'Eugene,OR',351715.00,21660.00,ND,ND,ND,ND,0.06,128.00,9.90,70.00,ND
'Eureka-Arcata-Fortuna,CA',134623.00,21700.00,1.00,ND,2.00,IN,0.04,58.00,6.90,15.00,1.00
'Evanston,WY',21118.00,21740.00,ND,ND,ND,ND,ND,66.00,ND,ND,ND
'Evansville,IN-KY',311552.00,21780.00,1.00,ND,5.00,30.00,0.07,45.00,10.50,27.00,68.00
'Fairbanks,AK',97581.00,21820.00,2.00,ND,ND,ND,0.05,57.00,11.90,66.00,33.00
'Fairmont,WV',56418.00,21900.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Fallon,NV',24877.00,21980.00,ND,ND,ND,ND,0.08,ND,ND,ND,ND
'Fargo,ND-MN',208777.00,22020.00,ND,ND,4.00,31.00,0.06,ND,11.00,60.00,IN
'Farmington,MO',65359.00,22100.00,ND,0.02,ND,ND,ND,ND,ND,ND,ND
'Farmington,NM',130044.00,22140.00,ND,ND,9.00,31.00,0.07,110.00,IN,IN,6.00
'Fayetteville,NC',366383.00,22180.00,ND,ND,ND,ND,0.07,45.00,8.20,21.00,IN
'Fayetteville-Springdale-Rogers,AR-MO',463204.00,22220.00,ND,ND,ND,ND,0.06,27.00,8.10,22.00,ND
'Fergus Falls,MN',57303.00,22260.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Fernley,NV',51980.00,22280.00,ND,ND,ND,ND,0.08,ND,ND,ND,ND
'Findlay,OH',74782.00,22300.00,ND,ND,ND,ND,ND,ND,ND,ND,21.00
'Flagstaff,AZ',134421.00,22380.00,ND,ND,ND,ND,0.06,ND,IN,IN,ND
'Flint,MI',425790.00,22420.00,ND,ND,ND,ND,0.07,ND,7.30,17.00,ND
'Florence,SC',205566.00,22500.00,ND,0.05,ND,ND,0.06,ND,7.40,16.00,ND
'Florence-Muscle Shoals,AL',147137.00,22520.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Fond du Lac,WI',101633.00,22540.00,ND,ND,ND,ND,0.07,ND,ND,ND,ND
'Fort Collins,CO',299630.00,22660.00,1.00,ND,ND,ND,0.09,ND,8.50,29.00,ND
'Fort Madison-Keokuk,IA-IL-MO',62105.00,22800.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Fort Payne,AL',14101.00,22840.00,ND,ND,ND,ND,0.06,ND,7.70,18.00,ND
'Fort Smith,AR-OK',280467.00,22900.00,ND,ND,5.00,27.00,0.06,ND,8.30,20.00,ND
'Fort Wayne,IN',416257.00,23060.00,ND,ND,ND,ND,0.07,ND,9.00,21.00,ND
'Frankfort,KY',70706.00,23180.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Fresno,CA',930450.00,23420.00,2.00,ND,19.00,56.00,0.09,230.00,17.20,54.00,6.00
'Gadsden,AL',104430.00,23460.00,ND,ND,ND,ND,0.06,ND,IN,IN,ND
'Gainesville,FL',264275.00,23540.00,ND,ND,ND,ND,0.06,ND,6.90,11.00,ND
'Gainesville,GA',179684.00,23580.00,ND,ND,ND,ND,ND,ND,9.10,21.00,ND
'Gardnerville Ranchos,NV',46997.00,23820.00,ND,ND,ND,ND,ND,ND,13.20,115.00,ND
'Georgetown,SC',60158.00,23860.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Gettysburg,PA',101407.00,23900.00,0.00,ND,2.00,IN,0.07,ND,9.60,24.00,IN
'Gillette,WY',46133.00,23940.00,ND,ND,1.00,8.00,0.07,154.00,IN,37.00,ND
'Glenwood Springs,CO',73537.00,24060.00,ND,ND,3.00,IN,0.07,60.00,5.30,23.00,ND
'Goldsboro,NC',122623.00,24140.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Grand Forks,ND-MN',98461.00,24220.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Grand Island,NE',81850.00,24260.00,ND,ND,ND,ND,ND,ND,7.40,22.00,ND
'Grand Junction,CO',146723.00,24300.00,ND,ND,ND,ND,0.07,44.00,6.20,18.00,ND
'Grand Rapids-Wyoming,MI',988938.00,24340.00,1.00,ND,8.00,39.00,0.07,42.00,10.10,26.00,4.00
'Grants Pass,OR',82713.00,24420.00,ND,ND,ND,ND,ND,ND,IN,58.00,ND
'Great Falls,MT',81327.00,24500.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Greeley,CO',252825.00,24540.00,1.00,ND,6.00,42.00,0.08,ND,9.80,31.00,ND
'Green Bay,WI',306241.00,24580.00,ND,ND,ND,ND,0.07,ND,8.70,26.00,5.00
'Greenfield Town,MA',71372.00,24640.00,ND,ND,ND,ND,0.06,ND,8.00,17.00,ND
'Greensboro-High Point,NC',723801.00,24660.00,ND,ND,ND,ND,0.07,35.00,7.70,18.00,IN
'Greenville,NC',168148.00,24780.00,ND,ND,ND,ND,0.06,ND,6.60,16.00,ND
'Greenville-Anderson-Mauldin,SC',824112.00,24860.00,ND,ND,7.00,IN,0.07,40.00,9.10,23.00,3.00
'Greenwood,SC',95078.00,24940.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Grenada,MS',21906.00,24980.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Guayama,PR',84214.00,25020.00,ND,ND,ND,ND,ND,IN,IN,IN,IN
'Gulfport-Biloxi-Pascagoula,MS',370702.00,25060.00,ND,ND,3.00,25.00,0.06,ND,8.90,21.00,3.00
'Hagerstown-Martinsburg,MD-WV',251599.00,25180.00,ND,ND,ND,ND,0.07,ND,8.80,20.00,ND
'Hammond,LA',121097.00,25220.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Hanford-Corcoran,CA',152982.00,25260.00,ND,ND,8.00,41.00,0.08,265.00,15.60,56.00,ND
'Harrisburg-Carlisle,PA',549475.00,25420.00,ND,ND,ND,ND,0.06,39.00,10.80,28.00,ND
'Harrison,AR',45233.00,25460.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Harrisonburg,VA',125228.00,25500.00,ND,ND,9.00,36.00,0.06,ND,7.40,18.00,2.00
'Hartford-West Hartford-East Hartford,CT',1212381.00,25540.00,1.00,ND,12.00,39.00,0.08,59.00,8.00,19.00,ND
'Hattiesburg,MS',142842.00,25620.00,ND,ND,ND,ND,ND,ND,9.80,21.00,ND
'Helena,MT',74801.00,25740.00,1.00,ND,ND,ND,0.07,ND,9.30,44.00,1.00
'Helena-West Helena,AR',21757.00,25760.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Hermiston-Pendleton,OR',87062.00,25840.00,ND,ND,ND,ND,0.07,ND,IN,IN,ND
'Hickory-Lenoir-Morganton,NC',365497.00,25860.00,ND,ND,ND,ND,0.06,ND,9.00,21.00,ND
'Hilo,HI',185079.00,25900.00,ND,ND,ND,ND,ND,ND,3.60,10.00,420.00
'Hilton Head Island-Bluffton-Beaufort,SC',187010.00,25940.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Hobbs,NM',64727.00,26020.00,ND,ND,4.00,IN,0.07,ND,6.60,18.00,ND
'Holland,MI',111408.00,26090.00,ND,ND,ND,ND,0.08,ND,7.00,18.00,ND
